snapshot_month,parcels_total,sqft_total,land_value_total,bldg_value_total,total_value,tif_value_total,pct_multistory,pct_old_40y,pct_high_grade,parcels_residential,parcels_commercial,sqft_residential,sqft_commercial,month_idx,month_sin,month_cos,nh_beds_total,nh_residents_total,nh_facilities
2018-08,5868.0,12272060.0,21665300.0,56385900.0,78051200.0,59891800.0,0.8580436264485344,0.1862644853442399,0.4274028629856851,5359.0,119.0,12125218.0,13673.0,0,0.0,1.0,0.0,0.0,0.0
2018-09,5868.0,12272060.0,21665300.0,56385900.0,78051200.0,59810900.0,0.8580436264485344,0.1862644853442399,0.4275732788002727,5359.0,119.0,12125218.0,13673.0,1,0.4999999999999999,0.8660254037844387,0.0,0.0,0.0
2018-10,5870.0,12270803.0,21665300.0,56385900.0,78051200.0,59810900.0,0.8577512776831345,0.1862010221465076,0.427427597955707,5359.0,119.0,12123961.0,13673.0,2,0.8660254037844386,0.5000000000000001,0.0,0.0,0.0
2018-11,5234.0,11275417.0,10929900.0,21507900.0,32437800.0,54785500.0,0.8836453954910203,0.1568589988536492,0.4535727932747421,4903.0,98.0,11173118.0,4615.0,3,1.0,6.123233995736766e-17,0.0,0.0,0.0
2018-12,5276.0,11274421.0,11071000.0,21486100.0,32557100.0,54989500.0,0.8766110689916603,0.1556103108415466,0.4501516300227445,5003.0,99.0,11221609.0,5853.0,4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0
2019-01,5312.0,11272857.0,11071000.0,21486100.0,32557100.0,54989500.0,0.8706701807228916,0.1545557228915662,0.4471009036144578,5003.0,99.0,11220045.0,5853.0,5,0.4999999999999999,-0.8660254037844387,0.0,0.0,0.0
2019-02,5988.0,12333429.0,21536400.0,56206900.0,77743300.0,60220000.0,0.8455243820975283,0.1821977287909151,0.4228456913827655,5468.0,118.0,12246218.0,12941.0,6,1.2246467991473532e-16,-1.0,0.0,0.0,0.0
2019-03,5988.0,12553382.0,21536400.0,56051200.0,77587600.0,60220000.0,0.8587174348697395,0.1816967267869071,0.4245156980627922,5468.0,118.0,12468061.0,12941.0,7,-0.4999999999999997,-0.8660254037844388,0.0,0.0,0.0
2019-04,5987.0,12681101.0,21536400.0,56051200.0,77587600.0,70149700.0,0.8668782361783866,0.1817270753298814,0.4245866043093369,5467.0,118.0,12467515.0,12941.0,8,-0.8660254037844385,-0.5000000000000004,0.0,0.0,0.0
2019-05,5990.0,12700708.0,21536400.0,56051200.0,77587600.0,70149700.0,0.8672787979966611,0.1814691151919866,0.4252086811352253,5466.0,118.0,12487590.0,12941.0,9,-1.0,-1.8369701987210294e-16,0.0,0.0,0.0
2019-06,6061.0,12700028.0,21536400.0,56051200.0,77587600.0,70149700.0,0.857119287246329,0.1793433426827256,0.4185777924434912,5466.0,118.0,12486910.0,12941.0,10,-0.8660254037844386,0.5000000000000001,0.0,0.0,0.0
2019-07,6061.0,12699593.0,21536400.0,56051200.0,77587600.0,70149700.0,0.857119287246329,0.1793433426827256,0.4185777924434912,5466.0,118.0,12486475.0,12941.0,11,-0.5000000000000004,0.8660254037844384,0.0,0.0,0.0
