agency_fdid,basic_incident_number_fd1,basic_incident_date_original_fd13,basic_incident_year_fd13,basic_incident_type_code_fd121,basic_incident_type_fd121,basic_aid_given_or_received_code_fd122,basic_aid_given_or_received_fd122,basic_property_use_category_fd146,basic_property_use_code_fd146,basic_property_use_fd146,basic_incident_full_street_address,basic_incident_city_name_fd116,basic_incident_state_fd118,basic_incident_postal_code_fd119,incident_number_original,incident_year,incident_number_cleaned
25115,2025001192,2025-07-25,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,2899 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2025001192,2025,2025001192
25115,2025001191,2025-07-24,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,8340 FAIR OAK Drive,Blacklick,OH,43004,2025001191,2025,2025001191
25115,2025001190,2025-07-24,2025.0,622.0,No incident found on arrival at dispatch address,,,9 - Outside or Special Property,963,Street or road in commercial area,6010 TAYLOR Road,Gahanna,OH,43230,2025001190,2025,2025001190
25115,2025001189,2025-07-24,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,724 WOODINGTON Drive,Pataskala,OH,43062,2025001189,2025,2025001189
25115,2025001188,2025-07-24,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,725 BUCKLES Court North,Gahanna,OH,43230,2025001188,2025,2025001188
25115,2025001187,2025-07-24,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,2300 COLTS NECK Road,Blacklick,OH,43004,2025001187,2025,2025001187
25115,2025001186,2025-07-23,2025.0,324.0,Motor vehicle accident with no injuries.,2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,2024 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004,2025001186,2025,2025001186
25115,2025001185,2025-07-23,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,8360 HUMBOLDT Road,Blacklick,OH,43004,2025001185,2025,2025001185
25115,2025001184,2025-07-23,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,858 TAYLOR STATION Road,Gahanna,OH,43230,2025001184,2025,2025001184
25115,2025001183,2025-07-23,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,2639 NEWTON Court,New Albany,OH,43054,2025001183,2025,2025001183
25115,2025001182,2025-07-23,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"7 - Manufacturing, Processing",700,"Manufacturing, Processing",8400 East BROAD Street,Reynoldsburg,OH,43068,2025001182,2025,2025001182
25115,2025001181,2025-07-22,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,6928 East BROAD Street,Blacklick,OH,43004,2025001181,2025,2025001181
25115,2025001180,2025-07-22,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,1121 STREAMSIDE Drive,Blacklick,OH,43004,2025001180,2025,2025001180
25115,2025001179,2025-07-22,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,831 ACORN GROVE Drive,Blacklick,OH,43004,2025001179,2025,2025001179
25115,2025001178,2025-07-22,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,72 SUDBURY Loop,Blacklick,OH,43004,2025001178,2025,2025001178
25115,2025001177,2025-07-22,2025.0,324.0,Motor vehicle accident with no injuries.,4.0,Automatic aid given,,,,North HAMILTON Road and N HAMILTON RD / GRANVILLE ST,GAHANNA,OH,43230,2025001177,2025,2025001177
25115,2025001176,2025-07-22,2025.0,736.0,CO detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,7691 DEER PARK Way,Reynoldsburg,OH,43068,2025001176,2025,2025001176
25115,2025001175,2025-07-22,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,970 VANWERT Loop,Blacklick,OH,43004,2025001175,2025,2025001175
25115,2025001174,2025-07-22,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"5 - Mercantile, Business",599,Business office,8455 East BROAD Street,Reynoldsburg,OH,43068,2025001174,2025,2025001174
25115,2025001173,2025-07-22,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,8842 BELHAVEN Court,Blacklick,OH,43004,2025001173,2025,2025001173
25115,2025001172,2025-07-21,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230,2025001172,2025,2025001172
