month,total_calls,ems_calls,fire_calls,runs_apartment_total,runs_apartment_ems,runs_apartment_fire,runs_fac_ems_sage_park,runs_fac_ems_taylor_springs,runs_fac_fire_sage_park,runs_fac_fire_taylor_springs,runs_fac_total_sage_park,runs_fac_total_taylor_springs,beds_sage_park,beds_taylor_springs,ems_calls_bucket_commercial,ems_calls_bucket_industrial,ems_calls_bucket_other,ems_calls_bucket_residential,fire_calls_bucket_commercial,fire_calls_bucket_industrial,fire_calls_bucket_other,fire_calls_bucket_residential,res_sf_area_sqft,res_mf_area_sqft,com_area_sqft,ind_area_sqft,res_sf_area_sqft_k,res_mf_area_sqft_k,com_area_sqft_k,ind_area_sqft_k,total_res_area_sqft_k,est_residents_sf,est_residents_mf,est_residents_total,est_workers_com,est_workers_ind,est_workers_total,res_mf_area_sqft_k_lag6,com_area_sqft_k_lag6,ind_area_sqft_k_lag6,total_res_area_sqft_k_lag6,est_residents_mf_lag6,est_residents_total_lag6,est_workers_com_lag6,est_workers_ind_lag6,est_workers_total_lag6,runs_sage_total,runs_taylor_total,runs_sage_ems,runs_taylor_ems,runs_sage_fire,runs_taylor_fire,ems_residential_other,fire_residential_other
2018-08-01,206,115,91,6,3,3,10,0,0,0,10,0,50.0,,34,3,22.0,56,19,2,32.0,38,11532234.845854126,734847.0,8045858.990424725,3746360.5136111667,11532.234845854126,734.847,8045.858990424726,3746.360513611167,12267.081845854125,10379.011361268713,1028.7857999999999,11407.797161268712,16091.717980849451,3746.360513611167,19838.078494460617,,,,,,,,,,10,0,10,0,0,0,102,88
2018-09-01,216,126,90,13,8,5,5,0,1,0,6,0,50.0,,25,3,16.0,82,29,0,28.0,33,11532234.845854126,734847.0,8045858.990424725,3746360.5136111667,11532.234845854126,734.847,8045.858990424726,3746.360513611167,12267.081845854125,10379.011361268713,1028.7857999999999,11407.797161268712,16091.717980849451,3746.360513611167,19838.078494460617,,,,,,,,,,6,0,5,0,1,0,113,84
2018-10-01,205,123,82,7,4,3,7,0,0,0,7,0,50.0,,34,3,14.0,72,27,0,32.0,23,11530977.845854126,734847.0,8045858.990424725,3746437.502644068,11530.977845854126,734.847,8045.858990424726,3746.437502644068,12265.824845854126,10377.880061268714,1028.7857999999999,11406.665861268713,16091.717980849451,3746.437502644068,19838.15548349352,,,,,,,,,,7,0,7,0,0,0,112,79
2018-11-01,205,120,85,12,9,3,2,0,0,0,2,0,50.0,,26,0,25.0,69,22,0,36.0,27,10188564.76621881,734847.0,5640114.240969093,2908035.333152543,10188.56476621881,734.847,5640.114240969093,2908.035333152543,10923.41176621881,9169.708289596929,1028.7857999999999,10198.494089596928,11280.228481938186,2908.035333152543,14188.26381509073,,,,,,,,,,2,0,2,0,0,0,109,82
2018-12-01,202,116,86,5,3,2,5,0,0,0,5,0,50.0,,16,1,22.0,77,18,0,30.0,38,10517543.76621881,734847.0,5636348.78694317,2908035.333152543,10517.543766218809,734.847,5636.34878694317,2908.035333152543,11252.390766218808,9465.789389596928,1028.7857999999999,10494.575189596928,11272.69757388634,2908.035333152543,14180.732907038884,,,,,,,,,,5,0,5,0,0,0,108,84
2019-01-01,199,100,99,8,7,1,2,0,2,0,4,0,50.0,,13,2,21.0,64,6,0,45.0,48,10515979.76621881,734847.0,5636348.78694317,2908035.333152543,10515.97976621881,734.847,5636.34878694317,2908.035333152543,11250.82676621881,9464.38178959693,1028.7857999999999,10493.16758959693,11272.69757388634,2908.035333152543,14180.732907038884,,,,,,,,,,4,0,2,0,2,0,91,96
2019-02-01,168,92,76,5,1,4,3,0,0,0,3,0,50.0,,17,3,20.0,52,15,1,26.0,34,11723884.427715931,734847.0,8042093.536398803,3746655.8715373883,11723.884427715931,734.847,8042.093536398803,3746.6558715373885,12458.731427715931,10551.495984944338,1028.7857999999999,11580.281784944338,16084.187072797606,3746.6558715373885,19830.842944334996,734.847,8045.858990424726,3746.360513611167,12267.081845854125,1028.7857999999999,11407.797161268712,16091.717980849451,3746.360513611167,19838.078494460617,3,0,3,0,0,0,88,72
2019-03-01,189,113,76,4,4,0,3,0,0,0,3,0,50.0,,15,5,36.0,57,16,2,28.0,30,11751543.259462573,734847.0,8042093.536398803,3746655.8715373883,11751.543259462573,734.847,8042.093536398803,3746.6558715373885,12486.390259462572,10576.388933516315,1028.7857999999999,11605.174733516315,16084.187072797606,3746.6558715373885,19830.842944334996,734.847,8045.858990424726,3746.360513611167,12267.081845854125,1028.7857999999999,11407.797161268712,16091.717980849451,3746.360513611167,19838.078494460617,3,0,3,0,0,0,106,76
2019-04-01,203,113,90,6,4,2,5,0,2,0,7,0,50.0,,18,6,28.0,61,12,0,39.0,39,11751165.236429943,734847.0,8073038.560398803,3746655.8715373883,11751.165236429943,734.847,8073.038560398803,3746.6558715373885,12486.012236429942,10576.04871278695,1028.7857999999999,11604.834512786949,16146.077120797607,3746.6558715373885,19892.732992334997,734.847,8045.858990424726,3746.437502644068,12265.824845854126,1028.7857999999999,11406.665861268713,16091.717980849451,3746.437502644068,19838.15548349352,7,0,5,0,2,0,104,86
2019-05-01,233,141,92,9,3,6,2,0,0,0,2,0,50.0,,19,3,31.0,88,11,0,42.0,39,11756088.806429943,734847.0,8087307.19618345,3746655.8715373883,11756.088806429943,734.847,8087.307196183449,3746.6558715373885,12490.935806429943,10580.479925786949,1028.7857999999999,11609.265725786949,16174.614392366899,3746.6558715373885,19921.270263904287,734.847,5640.114240969093,2908.035333152543,10923.41176621881,1028.7857999999999,10198.494089596928,11280.228481938186,2908.035333152543,14188.26381509073,2,0,2,0,0,0,136,86
