parcel_id,apprlnd,apprbld,apprtot,landuse,school,pclass,staddr,usps_city,taxdesi,area_a,rooms,baths,bedrms,nostory,yearblt,proptyp,point_x,point_y,source_year,taxdist_code,staddr_norm,stories_x_sqft,sqft_prev,delta_sqft
170-001508,27600.0,0.0,27600.0,501,2506,R,7451 MORSE RD,New Albany,JEFFERSON TOWNSHIP,,0,0,0,,,,1886102.20825,747513.190374,2018,170,7451 MORSE ROAD,,,
170-001292,546600.0,92300.0,638900.0,101,2506,A,8008 MCOWEN RD,Blacklick,JEFFERSON TOWNSHIP,1380.0,6,1,3,20.0,1930.0,,1891532.6718,742574.072627,2018,170,8008 MCOWEN ROAD,27600.0,,
170-001191,65200.0,0.0,65200.0,511,2506,R,7790 HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1888291.08577,735751.800839,2018,170,7790 HAVENS CORNERS ROAD,,,
170-001168,45000.0,8100.0,53100.0,511,2506,R,MORSE RD,New Albany,JEFFERSON TOWNSHIP,,0,0,0,,,,1889666.87501,746901.743434,2018,170,MORSE ROAD,,,
170-000051,242800.0,12000.0,254800.0,101,2506,A,8015 MCOWEN RD,Blacklick,JEFFERSON TOWNSHIP,1856.0,8,2,4,20.0,1881.0,,1891148.27592,741211.866362,2018,170,8015 MCOWEN ROAD,37120.0,,
170-000138,210000.0,1590000.0,1800000.0,403,2506,C,870 TAYLOR STATION RD,Columbus,JEFFERSON TOWNSHIP,,0,0,0,,,,1874531.1333,728073.017312,2018,170,870 TAYLOR STATION ROAD,,,
170-000282,105800.0,69300.0,175100.0,511,2506,C,712 REYN NEW ALBANY RD,Blacklick,JEFFERSON TOWNSHIP,2078.0,7,1,3,20.0,1906.0,,1881857.17606,727708.888119,2018,170,712 REYN NEW ALBANY ROAD,41560.0,,
170-000868,54600.0,78300.0,132900.0,511,2506,R,957 TAYLOR STATION RD,Columbus,JEFFERSON TOWNSHIP,1372.0,6,1,2,10.0,1950.0,,1874531.9663,728625.154987,2018,170,957 TAYLOR STATION ROAD,13720.0,,
171-000966,19100.0,0.0,19100.0,501,4505,R,JEFFERSON RUN,Blacklick,JEFFERSON TWP-LICKING HTS LSD,,0,0,0,,,,1887508.35439,732352.573713,2018,171,JEFFERSON RUN,,,
170-000815,53000.0,69600.0,122600.0,511,2506,R,1035 TAYLOR STATION RD,Columbus,JEFFERSON TOWNSHIP,1147.0,6,1,4,10.0,1949.0,,1874550.42788,728915.886033,2018,170,1035 TAYLOR STATION ROAD,11470.0,,
170-000345,746000.0,0.0,746000.0,502,2506,R,7555 MORSE RD,New Albany,JEFFERSON TOWNSHIP,,0,0,0,,,,1887038.59319,746716.880286,2018,170,7555 MORSE ROAD,,,
170-000737,103600.0,11500.0,115100.0,511,2506,C,726 REYN NEW ALBANY RD,Blacklick,JEFFERSON TOWNSHIP,976.0,4,1,2,10.0,1900.0,,1882259.23202,727943.137322,2018,170,726 REYN NEW ALBANY ROAD,9760.0,,
170-000426,185900.0,99100.0,285000.0,420,2506,C,4242 JOHNSTOWN RD,Columbus,JEFFERSON TOWNSHIP,,0,0,0,,,,1867803.31703,744485.824709,2018,170,4242 JOHNSTOWN ROAD,,,
170-000574,150000.0,0.0,150000.0,501,2506,R,CLARK STATE RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1883893.78747,743268.874059,2018,170,CLARK STATE ROAD,,,
170-004257,0.0,0.0,0.0,,2506,,HAVENS CORNERS  RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1892238.10445,735524.636595,2019,170,HAVENS CORNERS ROAD,,,
170-000215,49300.0,95500.0,144800.0,511,2506,R,5829 TAYLOR RD,Columbus,JEFFERSON TOWNSHIP,1196.0,5,1,2,15.0,1918.0,,1871979.90185,729449.073615,2019,170,5829 TAYLOR ROAD,17940.0,1196.0,0.0
170-004335,0.0,0.0,0.0,,2506,,MORSE RD,New Albany,JEFFERSON TOWNSHIP,,0,0,0,,,,1889432.89648,746228.045634,2019,170,MORSE ROAD,,,
170-000106,54300.0,74300.0,128600.0,511,2506,R,8075 MORSE RD,New Albany,JEFFERSON TOWNSHIP,1616.0,6,1,3,20.0,1927.0,,1890997.7526,747206.782194,2019,170,8075 MORSE ROAD,32320.0,1616.0,0.0
170-001140,88600.0,143400.0,232000.0,510,2506,R,4478 JOHNSTOWN RD,Columbus,JEFFERSON TOWNSHIP,1309.0,7,1,3,10.0,1959.0,,1869097.96995,746043.018773,2019,170,4478 JOHNSTOWN ROAD,13090.0,1309.0,0.0
170-001153,29100.0,0.0,29100.0,501,2506,R,CROOKED MILE RD,Columbus,JEFFERSON TOWNSHIP,,0,0,0,,,,1871631.41994,736572.069539,2019,170,CROOKED MILE ROAD,,,
170-001201,34700.0,0.0,34700.0,501,2506,R,3834 MANN RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1876082.74175,741377.3867,2019,170,3834 MANN ROAD,,,
170-001994,18700.0,0.0,18700.0,501,2506,R,HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1881014.02486,735301.918864,2019,170,HAVENS CORNERS ROAD,,,
027-000142,62400.0,0.0,62400.0,501,2506,R,4297 JOHNSTOWN RD,Columbus,CITY OF GAHANNA-JEFF TWP-GAHANNA,,0,0,0,,,,1867355.68341,744815.275822,2019,027,4297 JOHNSTOWN ROAD,,,
440-289606,93000.0,123100.0,216100.0,511,2503,R,7300 E BROAD ST,Blacklick,COLUMBUS-JEFEFERSON TWP-COLUMBUS,1744.0,6,2,3,10.0,1955.0,,1882053.7508,722758.534174,2019,440,7300 BROAD STREET,17440.0,1744.0,0.0
440-289605,92300.0,116800.0,209100.0,511,2503,R,7298 E BROAD ST,Blacklick,COLUMBUS-JEFEFERSON TWP-COLUMBUS,2448.0,7,2,3,10.0,1984.0,,1881886.25901,722994.827993,2019,440,7298 BROAD STREET,24480.0,2448.0,0.0
171-000027,752100.0,0.0,752100.0,504,4505,R,279 N WAGGONER RD,Blacklick,JEFFERSON TWP-LICKING HTS LSD,,0,0,0,,,,1885925.35559,724803.421817,2019,171,279 WAGGONER ROAD,,,
170-001869,61700.0,0.0,61700.0,501,2506,R,HAVENS CORNERS RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1878367.04689,735120.433991,2020,170,HAVENS CORNERS ROAD,,,
170-000566,83700.0,132300.0,216000.0,511,2506,R,6589 MORSE RD,New Albany,JEFFERSON TOWNSHIP,1136.0,6,2,3,10.0,1972.0,,1880191.11476,747779.347322,2020,170,6589 MORSE ROAD,11360.0,1136.0,0.0
170-004256,853100.0,0.0,853100.0,502,2506,R,DIXON RD,Blacklick,JEFFERSON TOWNSHIP,,0,0,0,,,,1891480.39829,743636.121356,2020,170,DIXON ROAD,,,
170-000280,67000.0,0.0,67000.0,501,2506,R,6595 MORSE RD,New Albany,JEFFERSON TOWNSHIP,,0,0,0,,,,1880286.07159,747772.776469,2020,170,6595 MORSE ROAD,,,
171-000007,125900.0,150500.0,276400.0,511,4505,R,5284 TAYLOR RD,Blacklick,JEFFERSON TWP-LICKING HTS LSD,2032.0,7,1,3,20.0,1900.0,,1892535.04513,733093.993818,2020,171,5284 TAYLOR ROAD,40640.0,2032.0,0.0
170-001283,0.0,0.0,0.0,650,2506,E,1875 REYN NEW ALBANY RD,Blacklick,JEFFERSON TOWNSHIP,1563.0,6,2,3,10.0,1967.0,,1879819.82754,736473.69157,2021,170,1875 REYN NEW ALBANY ROAD,15630.0,1563.0,0.0
171-000587,1517000.0,0.0,1517000.0,503,4505,R,3134 WAGGONER RD,Blacklick,JEFFERSON TWP-LICKING HTS LSD,,0,0,0,,,,1892600.068,733905.624396,2021,171,3134 WAGGONER ROAD,,,
170-000004,0.0,0.0,0.0,650,2506,E,1995 REYN NEW ALBANY RD,Blacklick,JEFFERSON TOWNSHIP,1137.0,5,1,2,10.0,1936.0,,1879863.41499,737576.379285,2021,170,1995 REYN NEW ALBANY ROAD,11370.0,1137.0,0.0
