street_norm,year,parcels,total_sqft,net_delta_sqft,run_count
,2014,1,0.0,0.0,0.0
,2015,1,0.0,0.0,0.0
,2016,19,0.0,0.0,0.0
,2017,10,0.0,0.0,0.0
,2018,10,0.0,0.0,0.0
,2019,10,0.0,0.0,0.0
,2020,10,0.0,0.0,0.0
,2021,8,0.0,0.0,0.0
,2022,14,4025.0,0.0,0.0
,2023,9,1815.0,0.0,0.0
,2024,10,2823.0,0.0,0.0
- 1687 TAYLOR ROAD,2022,1,0.0,0.0,0.0
- 1687 TAYLOR ROAD,2023,1,0.0,0.0,0.0
- 1687 TAYLOR ROAD,2024,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2017,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2019,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2020,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2021,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2022,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2023,1,0.0,0.0,0.0
- 360 WAGGONER ROAD,2024,1,0.0,0.0,0.0
- 4328 HAMILTON ROAD,2016,1,0.0,0.0,0.0
- 4328 HAMILTON ROAD,2017,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2018,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2019,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2020,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2021,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2022,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2023,1,2986.0,0.0,0.0
- 4328 HAMILTON ROAD,2024,1,2986.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2016,1,0.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2017,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2018,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2019,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2020,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2021,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2022,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2023,1,993.0,0.0,0.0
- 565 REYNOLDSBURG NEW ROAD,2024,1,993.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2016,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2017,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2018,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2019,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2020,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2021,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2022,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2023,1,0.0,0.0,0.0
- 596 REYN NEW ALBANY ROAD,2024,1,0.0,0.0,0.0
- 6539 BROAD STREET,2016,1,0.0,0.0,0.0
- 6539 BROAD STREET,2017,1,0.0,0.0,0.0
- 6539 BROAD STREET,2018,1,0.0,0.0,0.0
- 6539 BROAD STREET,2019,1,0.0,0.0,0.0
- 6539 BROAD STREET,2020,1,0.0,0.0,0.0
- 6539 BROAD STREET,2021,1,0.0,0.0,0.0
- 6539 BROAD STREET,2022,1,0.0,0.0,0.0
- 6539 BROAD STREET,2023,1,0.0,0.0,0.0
- 6539 BROAD STREET,2024,1,0.0,0.0,0.0
- 659 EASTGATE PW,2021,1,0.0,0.0,0.0
- 6619 BROAD STREET,2016,1,0.0,0.0,0.0
- 6619 BROAD STREET,2017,1,0.0,0.0,0.0
- 6619 BROAD STREET,2018,1,0.0,0.0,0.0
- 6619 BROAD STREET,2019,1,0.0,0.0,0.0
- 6619 BROAD STREET,2020,1,0.0,0.0,0.0
- 6619 BROAD STREET,2021,1,0.0,0.0,0.0
- 6619 BROAD STREET,2022,1,0.0,0.0,0.0
- 6619 BROAD STREET,2023,1,0.0,0.0,0.0
- 6619 BROAD STREET,2024,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2016,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2017,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2018,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2019,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2020,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2021,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2022,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2023,1,0.0,0.0,0.0
- 6640 TAYLOR ROAD,2024,1,0.0,0.0,0.0
- 667 EASTGATE PW,2022,1,0.0,0.0,0.0
- 667 EASTGATE PW,2023,1,0.0,0.0,0.0
- 667 EASTGATE PW,2024,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2017,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2018,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2019,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2020,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2021,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2022,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2023,1,0.0,0.0,0.0
- 6755 TAYLOR ROAD,2024,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2016,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2017,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2018,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2019,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2020,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2021,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2022,1,0.0,0.0,0.0
- 6800 KILOWATT CR,2023,1,0.0,0.0,0.0
