incident_id,date,year,month,day,inc_type_code,inc_type_cat,inc_type_desc,prop_use_code,prop_use_cat,prop_use_desc,aid_code,aid_desc,address,agency_name,addr_norm,parcel_id
2025001186,2025-07-23 16:23:30,2025,7.0,23.0,324,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with no injuries.,419,4 - Residential,1 or 2 family dwelling,2,2 - Automatic aid received,2024 North REYNOLDSBURG NEW ALBANY Road 43004,Jefferson Township Fire Department,2024 REYNOLDSBURG NEW ALBANY ROAD,
2025001185,2025-07-23 15:39:57,2025,7.0,23.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",429,4 - Residential,Multifamily dwelling,2,2 - Automatic aid received,8360 HUMBOLDT Road 43004,Jefferson Township Fire Department,8360 HUMBOLDT ROAD,
2025001184,2025-07-23 15:02:01,2025,7.0,23.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",429,4 - Residential,Multifamily dwelling,,,858 TAYLOR STATION Road 43230,Jefferson Township Fire Department,858 TAYLOR STATION ROAD,
2025001183,2025-07-23 09:44:07,2025,7.0,23.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,2639 NEWTON Court 43054,Jefferson Township Fire Department,2639 NEWTON COURT,
2025001182,2025-07-23 06:26:01,2025,7.0,23.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",700,"7 - Manufacturing, Processing","Manufacturing, Processing",2,2 - Automatic aid received,8400 East BROAD Street 43068,Jefferson Township Fire Department,8400 BROAD STREET,
2025001181,2025-07-22 20:47:01,2025,7.0,22.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",,,,4,4 - Automatic aid given,6928 East BROAD Street 43004,Jefferson Township Fire Department,6928 BROAD STREET,
2025001180,2025-07-22 19:49:56,2025,7.0,22.0,554,5 - Service Call,Assist invalid,419,4 - Residential,1 or 2 family dwelling,,,1121 STREAMSIDE Drive 43004,Jefferson Township Fire Department,1121 STREAMSIDE DRIVE,
2025001179,2025-07-22 18:51:46,2025,7.0,22.0,611,6 - Good Intent Call,Dispatched and cancelled en route,,,,4,4 - Automatic aid given,831 ACORN GROVE Drive 43004,Jefferson Township Fire Department,831 ACORN GROVE DRIVE,
2025001178,2025-07-22 15:53:56,2025,7.0,22.0,321,3 - Rescue & Emergency Medical Service Incident,"EMS call, excluding vehicle accident with injury",429,4 - Residential,Multifamily dwelling,2,2 - Automatic aid received,72 SUDBURY Loop 43004,Jefferson Township Fire Department,72 SUDBURY LOOP,
2025001177,2025-07-22 12:06:36,2025,7.0,22.0,324,3 - Rescue & Emergency Medical Service Incident,Motor vehicle accident with no injuries.,,,,4,4 - Automatic aid given,North HAMILTON Road 43230,Jefferson Township Fire Department,HAMILTON ROAD,
