street_name,year,run_count,total_sqft,appr_growth,sqft_growth
- G TAYLOR ROAD,2023,1.0,0.0,,
36MM I-270 SB-36 2,2019,1.0,0.0,,
3RD AVENUE,2019,1.0,0.0,,
43054,2022,1.0,0.0,,
43230,2022,2.0,0.0,,
ABBINGTON PL,2021,2.0,0.0,,
ABBINGTON PLACE,2022,1.0,0.0,,
ABBINGTON PLACE,2023,1.0,0.0,,
ABERDEEN AVENUE,2022,1.0,0.0,,
ACKERLY FARM ROAD,2022,1.0,0.0,,
ACKERLY FARM ROAD,2024,1.0,0.0,,
ACKERLY LOOP,2019,1.0,0.0,,
ACKERLY LOOP,2020,1.0,0.0,,
ACONITE COURT,2022,1.0,0.0,,
ACONITE DRIVE,2018,3.0,0.0,,
ACONITE DRIVE,2019,2.0,0.0,,
ACONITE DRIVE,2020,1.0,0.0,,
ACONITE DRIVE,2024,2.0,0.0,,
ACONTI DRIVE,2023,1.0,0.0,,
ACORN GROVE DRIVE,2018,7.0,0.0,,
ACORN GROVE DRIVE,2019,8.0,0.0,,
ACORN GROVE DRIVE,2020,2.0,0.0,,
ACORN GROVE DRIVE,2021,1.0,0.0,,
ACORN GROVE DRIVE,2022,10.0,0.0,,
ACORN GROVE DRIVE,2023,3.0,0.0,,
ACORN GROVE DRIVE,2024,5.0,0.0,,
AGLER ROAD,2018,2.0,0.0,,
AGLER ROAD,2019,1.0,0.0,,
AGLER ROAD,2020,1.0,0.0,,
AGLER ROAD,2022,4.0,0.0,,
AIKEN PL,2019,5.0,126820.0,,
AIKEN PLACE,2022,1.0,0.0,,
AIKEN PLACE,2023,2.0,0.0,,
AIKEN PLACE,2024,10.0,0.0,,
ALBANY RIDGE RIDGE,2023,1.0,0.0,,
ALDER DRIVE,2023,1.0,0.0,,
ALDER DRIVE,2024,1.0,0.0,,
ALEXIA COURT,2019,1.0,0.0,,
ALEXIA COURT,2020,2.0,0.0,,
ALLANBY COURT,2018,1.0,0.0,,
ALLEY,2024,2.0,0.0,,
ALMOND PARK DRIVE,2019,19.0,717470.0,,
ALMOND PARK DRIVE,2020,57.0,717470.0,,
ALMOND PARK DRIVE,2021,19.0,717470.0,,
ALMOND PARK DRIVE,2022,304.0,717470.0,,
ALMOND PARK DRIVE,2023,494.0,717470.0,,
ALMOND PARK DRIVE,2024,437.0,717470.0,0.000741684042597849,0.0
ALPATH ROAD,2021,1.0,0.0,,
ALWARD ROAD SW,2018,1.0,0.0,,
ALY DAR LANE,2018,14.0,387960.0,,
ALY DAR LANE,2021,7.0,387960.0,,
ALY DAR LANE,2022,7.0,387960.0,,
AMARILLO DRIVE,2019,1.0,0.0,,
AMARILLO DRIVE,2023,1.0,0.0,,
AMBERLEA DRIVE,2020,2.0,0.0,,
AMESBURY DRIVE,2019,1.0,0.0,,
AMESBURY DRIVE,2023,1.0,0.0,,
AMESBURY DRIVE,2024,1.0,0.0,,
AMFIELD COURT,2020,1.0,0.0,,
