Agency FDID,Basic Incident Number (FD1),Basic Incident Date Original (FD1.3),Basic Incident Year (FD1.3),Basic Incident Type Code (FD1.21),Basic Incident Type (FD1.21),Basic Aid Given Or Received Code (FD1.22),Basic Aid Given Or Received (FD1.22),Basic Property Use Category (FD1.46),Basic Property Use Code (FD1.46),Basic Property Use (FD1.46),Basic Incident Full Street Address,Basic Incident City Name (FD1.16),Basic Incident State (FD1.18),Basic Incident Postal Code (FD1.19)
25115,2025001228,7/31/2025,2025,743,"Smoke detector activation, no fire - unintentional",,None,4 - Residential,419,1 or 2 family dwelling,878 POPPY HILLS Drive,Blacklick,OH,43004
25115,2025001227,7/31/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,8 - Storage,891,Warehouse,8455 East BROAD Street,Reynoldsburg,OH,43068
25115,2025001226,7/31/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,8365 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025001225,7/30/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7286 POPPY HILLS Court,Blacklick,OH,43004
25115,2025001224,7/30/2025,2025,3211,Medical Alarm - Accidental False,,None,4 - Residential,419,1 or 2 family dwelling,1232 CANTERHURST Street,Blacklick,OH,43004
25115,2025001223,7/30/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,255 WOODSIDE Drive Southwest,Pataskala,OH,43062
25115,2025001222,7/30/2025,2025,700,"False alarm or false call, other",2,Automatic aid received,4 - Residential,449,"Hotel/motel, commercial",700 North REYNOLDSBURG NEW ALBANY Road,Blacklick,OH,43004
25115,2025001221,7/30/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7907 BIRCH CREEK Drive,Blacklick,OH,43004
25115,2025001220,7/30/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,PARK Avenue and W BROAD ST,City of Pataskala,OH,43062
25115,2025001219,7/29/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,8 - Storage,888,Fire station,6767 HAVENS CORNERS Road,Blacklick,OH,43004
25115,2025001218,7/29/2025,2025,111,Building fire,2,Automatic aid received,4 - Residential,429,Multifamily dwelling,8365 HUMBOLDT Road,Blacklick,OH,43004
25115,2025001217,7/29/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,4 - Residential,429,Multifamily dwelling,72 SUDBURY Loop,Blacklick,OH,43004
25115,2025001216,7/29/2025,2025,611,Dispatched and cancelled en route,4,Automatic aid given,,,,603 CONINE Way,Pataskala,OH,43062
25115,2025001215,7/29/2025,2025,111,Building fire,4,Automatic aid given,,,,131 North HIGH Street,Gahanna,OH,43230
25115,2025001214,7/28/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,7758 JEFFERSON Run,Blacklick,OH,43004
25115,2025001213,7/28/2025,2025,321,"EMS call, excluding vehicle accident with injury",,None,4 - Residential,419,1 or 2 family dwelling,1599 BENT MAPLE Drive,Blacklick,OH,43004
25115,2025001212,7/28/2025,2025,461,Building or structure weakened or collapsed,4,Automatic aid given,4 - Residential,429,Multifamily dwelling,842 FALCON HUNTER Way,Gahanna,OH,43230
25115,2025001211,7/28/2025,2025,321,"EMS call, excluding vehicle accident with injury",2,Automatic aid received,"3 - Health Care, Detention & Correction",311,"24-hour care Nursing homes, 4 or more persons",5201 MORSE Road,Gahanna,OH,43230
25115,2025001210,7/28/2025,2025,736,CO detector activation due to malfunction,,None,4 - Residential,419,1 or 2 family dwelling,6605 WHEATLY Road,New Albany,OH,43054
