agency_fdid,basic_incident_number_(fd1),basic_incident_date_original_(fd1.3),basic_incident_year_(fd1.3),basic_incident_type_code_(fd1.21),basic_incident_type_(fd1.21),basic_aid_given_or_received_code_(fd1.22),basic_aid_given_or_received_(fd1.22),basic_property_use_category_(fd1.46),basic_property_use_code_(fd1.46),basic_property_use_(fd1.46),basic_incident_city_name_(fd1.16),basic_incident_state_(fd1.18),basic_incident_postal_code_(fd1.19)
25115,2025001192,07/25/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001191,07/24/2025,2025.0,554.0,Assist invalid,,,4 - Residential,429,Multifamily dwelling,Blacklick,OH,43004
25115,2025001190,07/24/2025,2025.0,622.0,No incident found on arrival at dispatch address,,,9 - Outside or Special Property,963,Street or road in commercial area,Gahanna,OH,43230
25115,2025001189,07/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Pataskala,OH,43062
25115,2025001188,07/24/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Gahanna,OH,43230
25115,2025001187,07/24/2025,2025.0,743.0,"Smoke detector activation, no fire - unintentional",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001186,07/23/2025,2025.0,324.0,Motor vehicle accident with no injuries.,2.0,Automatic aid received,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001185,07/23/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,Blacklick,OH,43004
25115,2025001184,07/23/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,429,Multifamily dwelling,Gahanna,OH,43230
25115,2025001183,07/23/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,New Albany,OH,43054
25115,2025001182,07/23/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,"7 - Manufacturing, Processing",700,"Manufacturing, Processing",Reynoldsburg,OH,43068
25115,2025001181,07/22/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",4.0,Automatic aid given,,,,Blacklick,OH,43004
25115,2025001180,07/22/2025,2025.0,554.0,Assist invalid,,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
25115,2025001179,07/22/2025,2025.0,611.0,Dispatched and cancelled en route,4.0,Automatic aid given,,,,Blacklick,OH,43004
25115,2025001178,07/22/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",2.0,Automatic aid received,4 - Residential,429,Multifamily dwelling,Blacklick,OH,43004
25115,2025001177,07/22/2025,2025.0,324.0,Motor vehicle accident with no injuries.,4.0,Automatic aid given,,,,GAHANNA,OH,43230
25115,2025001176,07/22/2025,2025.0,736.0,CO detector activation due to malfunction,,,4 - Residential,419,1 or 2 family dwelling,Reynoldsburg,OH,43068
25115,2025001175,07/22/2025,2025.0,321.0,"EMS call, excluding vehicle accident with injury",,,4 - Residential,419,1 or 2 family dwelling,Blacklick,OH,43004
