month,total_runs,sqft_use_100,sqft_use_101,sqft_use_110,sqft_use_111,sqft_use_112,sqft_use_122,sqft_use_123,sqft_use_199,sqft_use_300,sqft_use_330,sqft_use_340,sqft_use_350,sqft_use_351,sqft_use_355,sqft_use_370,sqft_use_399,sqft_use_400,sqft_use_401,sqft_use_403,sqft_use_407,sqft_use_409,sqft_use_413,sqft_use_417,sqft_use_420,sqft_use_421,sqft_use_422,sqft_use_426,sqft_use_429,sqft_use_430,sqft_use_435,sqft_use_442,sqft_use_443,sqft_use_444,sqft_use_447,sqft_use_452,sqft_use_455,sqft_use_456,sqft_use_458,sqft_use_463,sqft_use_465,sqft_use_468,sqft_use_470,sqft_use_471,sqft_use_479,sqft_use_480,sqft_use_481,sqft_use_489,sqft_use_495,sqft_use_499,sqft_use_500,sqft_use_501,sqft_use_502,sqft_use_503,sqft_use_504,sqft_use_505,sqft_use_510,sqft_use_511,sqft_use_512,sqft_use_513,sqft_use_514,sqft_use_515,sqft_use_521,sqft_use_522,sqft_use_534,sqft_use_540,sqft_use_550,sqft_use_551,sqft_use_553,sqft_use_599,sqft_use_620,sqft_use_630,sqft_use_640,sqft_use_650,sqft_use_660,sqft_use_680,sqft_use_685,sqft_use_690,sqft_use_840,sqft_use_899,total_certified_beds,avg_residents
2018-08-01,206,0.0,26578.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,306017.0,12294.0,0.0,0.0,0.0,0.0,9275586.0,1561144.0,109606.0,26105.0,15169.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,80428.0,0.0,1422.0,0.0,5126.0,3681.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2018-09-01,216,0.0,26578.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,306017.0,12294.0,0.0,0.0,0.0,0.0,9275586.0,1561144.0,109606.0,26105.0,15169.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,80428.0,0.0,1422.0,0.0,5126.0,3681.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2018-10-01,205,0.0,26578.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,306017.0,12294.0,0.0,0.0,0.0,0.0,9274329.0,1561144.0,109606.0,26105.0,15169.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,80428.0,0.0,1422.0,0.0,5126.0,3681.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2018-11-01,205,0.0,25354.0,0.0,0.0,1016.0,6867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,306017.0,12294.0,0.0,0.0,0.0,0.0,8987721.0,963295.0,72520.0,14933.0,0.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,77469.0,0.0,1422.0,0.0,0.0,1711.0,1482.0,0.0,0.0,0.0,0.0,50,0.0
2018-12-01,202,0.0,25354.0,0.0,0.0,1016.0,6867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,4765.0,0.0,0.0,0.0,0.0,9314414.0,987316.0,72520.0,14933.0,0.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,88792.0,0.0,2660.0,0.0,0.0,1711.0,1482.0,0.0,0.0,0.0,0.0,50,0.0
2019-01-01,199,0.0,25354.0,0.0,0.0,1016.0,6867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,0.0,4765.0,0.0,0.0,0.0,0.0,9312850.0,987316.0,72520.0,14933.0,0.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,88792.0,0.0,2660.0,0.0,0.0,1711.0,1482.0,0.0,0.0,0.0,0.0,50,0.0
2019-02-01,168,0.0,26578.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,64784.0,4765.0,0.0,0.0,0.0,0.0,9617063.0,1580823.0,111576.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,88792.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2019-03-01,189,0.0,24688.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,264363.0,14717.0,0.0,0.0,0.0,0.0,9617952.0,1577981.0,109606.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,105027.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2019-04-01,203,0.0,24688.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,264407.0,14717.0,0.0,0.0,0.0,0.0,9617952.0,1577981.0,109606.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,104437.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
2019-05-01,233,0.0,24688.0,0.0,1832.0,3427.0,18708.0,2880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1228.0,0.0,0.0,0.0,0.0,0.0,1685.0,2986.0,1106.0,0.0,0.0,0.0,0.0,5867.0,280341.0,17886.0,0.0,0.0,0.0,0.0,9616568.0,1578058.0,108070.0,20783.0,18763.0,4022.0,0.0,0.0,0.0,0.0,719985.0,14862.0,0.0,108252.0,0.0,2660.0,0.0,5126.0,1711.0,1482.0,1962.0,0.0,0.0,0.0,50,0.0
